survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2024-W04,ILIconsultationrate,0-4,1286.3
primary care syndromic,Austria,2024-W04,ILIconsultationrate,15-64,3472.1
primary care syndromic,Austria,2024-W04,ILIconsultationrate,5-14,4619.1
primary care syndromic,Austria,2024-W04,ILIconsultationrate,65+,1670.8
primary care syndromic,Austria,2024-W04,ILIconsultationrate,total,3180.1
primary care syndromic,Austria,2024-W03,ILIconsultationrate,0-4,1825.2
primary care syndromic,Austria,2024-W03,ILIconsultationrate,15-64,2845.2
primary care syndromic,Austria,2024-W03,ILIconsultationrate,5-14,1350.6
primary care syndromic,Austria,2024-W03,ILIconsultationrate,65+,1096.2
primary care syndromic,Austria,2024-W03,ILIconsultationrate,total,2156.0
primary care syndromic,Austria,2024-W02,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W02,ILIconsultationrate,15-64,3044.2
primary care syndromic,Austria,2024-W02,ILIconsultationrate,5-14,2269.0
primary care syndromic,Austria,2024-W02,ILIconsultationrate,65+,1217.0
primary care syndromic,Austria,2024-W02,ILIconsultationrate,total,2343.0
primary care syndromic,Austria,2024-W01,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2024-W01,ILIconsultationrate,15-64,3356.0
primary care syndromic,Austria,2024-W01,ILIconsultationrate,5-14,1641.0
primary care syndromic,Austria,2024-W01,ILIconsultationrate,65+,2258.7
primary care syndromic,Austria,2024-W01,ILIconsultationrate,total,2420.4
primary care syndromic,Austria,2023-W52,ILIconsultationrate,0-4,1825.7
primary care syndromic,Austria,2023-W52,ILIconsultationrate,15-64,2708.7
primary care syndromic,Austria,2023-W52,ILIconsultationrate,5-14,1742.3
primary care syndromic,Austria,2023-W52,ILIconsultationrate,65+,1142.5
primary care syndromic,Austria,2023-W52,ILIconsultationrate,total,2238.3
primary care syndromic,Austria,2023-W51,ILIconsultationrate,0-4,774.3
primary care syndromic,Austria,2023-W51,ILIconsultationrate,15-64,4060.3
primary care syndromic,Austria,2023-W51,ILIconsultationrate,5-14,3052.4
primary care syndromic,Austria,2023-W51,ILIconsultationrate,65+,2190.9
primary care syndromic,Austria,2023-W51,ILIconsultationrate,total,3209.8
primary care syndromic,Austria,2023-W50,ILIconsultationrate,0-4,2157.7
primary care syndromic,Austria,2023-W50,ILIconsultationrate,15-64,4488.3
primary care syndromic,Austria,2023-W50,ILIconsultationrate,5-14,1600.5
primary care syndromic,Austria,2023-W50,ILIconsultationrate,65+,1133.5
primary care syndromic,Austria,2023-W50,ILIconsultationrate,total,3242.5
primary care syndromic,Austria,2023-W49,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2023-W49,ILIconsultationrate,15-64,4225.4
primary care syndromic,Austria,2023-W49,ILIconsultationrate,5-14,1661.3
primary care syndromic,Austria,2023-W49,ILIconsultationrate,65+,1262.4
primary care syndromic,Austria,2023-W49,ILIconsultationrate,total,2834.0
primary care syndromic,Austria,2023-W48,ILIconsultationrate,0-4,995.6
primary care syndromic,Austria,2023-W48,ILIconsultationrate,15-64,3178.7
primary care syndromic,Austria,2023-W48,ILIconsultationrate,5-14,1134.5
primary care syndromic,Austria,2023-W48,ILIconsultationrate,65+,1237.6
primary care syndromic,Austria,2023-W48,ILIconsultationrate,total,2395.5
primary care syndromic,Austria,2023-W47,ILIconsultationrate,0-4,1161.6
primary care syndromic,Austria,2023-W47,ILIconsultationrate,15-64,4575.5
primary care syndromic,Austria,2023-W47,ILIconsultationrate,5-14,923.8
primary care syndromic,Austria,2023-W47,ILIconsultationrate,65+,1763.6
primary care syndromic,Austria,2023-W47,ILIconsultationrate,total,2778.6
primary care syndromic,Austria,2023-W46,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2023-W46,ILIconsultationrate,15-64,3270.4
primary care syndromic,Austria,2023-W46,ILIconsultationrate,5-14,1264.2
primary care syndromic,Austria,2023-W46,ILIconsultationrate,65+,1052.0
primary care syndromic,Austria,2023-W46,ILIconsultationrate,total,2184.9
primary care syndromic,Austria,2023-W45,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2023-W45,ILIconsultationrate,15-64,3197.9
primary care syndromic,Austria,2023-W45,ILIconsultationrate,5-14,1337.1
primary care syndromic,Austria,2023-W45,ILIconsultationrate,65+,1346.0
primary care syndromic,Austria,2023-W45,ILIconsultationrate,total,2248.4
primary care syndromic,Austria,2023-W44,ILIconsultationrate,0-4,2710.2
primary care syndromic,Austria,2023-W44,ILIconsultationrate,15-64,2837.4
primary care syndromic,Austria,2023-W44,ILIconsultationrate,5-14,0.0
primary care syndromic,Austria,2023-W44,ILIconsultationrate,65+,1326.3
primary care syndromic,Austria,2023-W44,ILIconsultationrate,total,2090.6
primary care syndromic,Austria,2023-W43,ILIconsultationrate,0-4,0.0
primary care syndromic,Austria,2023-W43,ILIconsultationrate,15-64,3123.4
